mondo id	mondo label	phenotypes to high-level hpo	histopheno	of body system or component	of developmental or physiological process	of etiologic mechanism	of genetic or genomic mechanism	of primarily extrinsic mechanism	of molecular mechanism
MONDO:0013408	FADD-related immunodeficiency	Abnormality of the nervous system; Abnormality of the respiratory system; Abnormality of the digestive system; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Abnormality of the cardiovascular system; Abnormality of the immune system	digestive_system; nervous_system; endocrine; immune_system; respiratory; metabolism_homeostasis; blood	immune system disorder			hereditary disease		
MONDO:0030491	immunodeficiency 91 and hyperinflammation	Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the respiratory system; Abnormality of the musculoskeletal system; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Abnormality of the genitourinary system; Abnormality of the cardiovascular system; Abnormality of the immune system	immune_system; digestive_system; nervous_system; metabolism_homeostasis; blood; respiratory; genitourinary_system; endocrine; skeletal_system; integument; musculature; growth	immune system disorder			hereditary disease		
MONDO:0030498	immunodeficiency 92	Abnormality of the respiratory system; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Abnormal cellular phenotype; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Abnormality of the immune system	immune_system; blood; metabolism_homeostasis; digestive_system; endocrine; skeletal_system; musculature; respiratory	immune system disorder			hereditary disease		
MONDO:0030528	immunodeficiency 93 and hypertrophic cardiomyopathy	Abnormality of the nervous system; Abnormality of the respiratory system; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Abnormal cellular phenotype; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Abnormality of the cardiovascular system; Abnormality of the immune system	immune_system; blood; nervous_system; metabolism_homeostasis; digestive_system; respiratory; musculature	immune system disorder			hereditary disease		
MONDO:0030692	immunodeficiency 95	Abnormality of the respiratory system; Abnormal cellular phenotype; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Abnormality of head or neck; Abnormality of the immune system	immune_system; respiratory; metabolism_homeostasis; digestive_system; blood; head_neck	immune system disorder			hereditary disease		
MONDO:0030693	immunodeficiency 96	Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the respiratory system; Abnormal cellular phenotype; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Abnormality of the ear; Abnormality of the genitourinary system; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	immune_system; blood; metabolism_homeostasis; nervous_system; head_neck; integument; eye; genitourinary_system; digestive_system; musculature; respiratory; ear; growth	immune system disorder			hereditary disease		
MONDO:0030717	immunodeficiency 97 with autoinflammation	Abnormality of the thoracic cavity; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the respiratory system; Abnormality of the musculoskeletal system; Abnormal cellular phenotype; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Abnormality of the genitourinary system; Abnormality of the ear; Constitutional symptom; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system	immune_system; blood; metabolism_homeostasis; digestive_system; head_neck; integument; respiratory; genitourinary_system; endocrine; musculature; ear	immune system disorder			hereditary disease		
MONDO:0024777	immunodeficiency 98 with autoinflammation, X-linked	Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormal cellular phenotype; Abnormality of blood and blood-forming tissues; Abnormality of the endocrine system; Abnormality of metabolism/homeostasis; Abnormality of the ear; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system	immune_system; blood; digestive_system; skeletal_system; head_neck; metabolism_homeostasis; endocrine; integument; ear; growth	immune system disorder			hereditary disease		
MONDO:0010626	hyper-IgM syndrome type 1	Abnormality of limbs; Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the respiratory system; Abnormality of the musculoskeletal system; Abnormal cellular phenotype; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system	immune_system; blood; digestive_system; metabolism_homeostasis; nervous_system; endocrine; head_neck; respiratory; skeletal_system; integument; musculature; growth	immune system disorder; hematologic disorder			hereditary disease		
MONDO:0024551	X-linked lymphoproliferative disease due to SH2D1A deficiency	Abnormality of the nervous system; Abnormality of the respiratory system; Abnormality of the digestive system; Neoplasm; Abnormal cellular phenotype; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system	immune_system; blood; metabolism_homeostasis; digestive_system; nervous_system; endocrine; neoplasm; respiratory; head_neck	immune system disorder			hereditary disease		
MONDO:0013934	combined immunodeficiency due to STK4 deficiency	Abnormality of the integument; Abnormality of the respiratory system; Abnormality of the musculoskeletal system; Neoplasm; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system	immune_system; digestive_system; integument; blood; respiratory; head_neck; neoplasm; metabolism_homeostasis; skeletal_system; musculature	immune system disorder			hereditary disease		
MONDO:0009308	granulomatous disease, chronic, autosomal recessive, cytochrome b-negative	Abnormality of the integument; Abnormality of the digestive system; Abnormality of the respiratory system; Abnormality of the musculoskeletal system; Abnormal cellular phenotype; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Abnormality of the cardiovascular system; Abnormality of the immune system	immune_system; digestive_system; integument; blood; metabolism_homeostasis; endocrine; musculature; skeletal_system; respiratory; connective_tissue	immune system disorder; hematologic disorder			hereditary disease		
MONDO:0009694	myeloperoxidase deficiency	Abnormality of metabolism/homeostasis; Abnormality of the immune system; Abnormality of blood and blood-forming tissues	metabolism_homeostasis; blood; immune_system	immune system disorder; hematologic disorder			hereditary disease		
MONDO:0011086	severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-negative, NK cell-positive	Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the respiratory system; Abnormality of the musculoskeletal system; Abnormal cellular phenotype; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Abnormality of the ear; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	immune_system; blood; metabolism_homeostasis; digestive_system; head_neck; endocrine; growth; skeletal_system; integument; musculature; respiratory; nervous_system; eye; ear	immune system disorder			hereditary disease		
MONDO:0008394	Silver-Russell syndrome	Abnormality of limbs; Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Abnormality of prenatal development or birth; Abnormality of the endocrine system; Abnormality of metabolism/homeostasis; Abnormality of the genitourinary system; Abnormality of the ear; Constitutional symptom; Abnormality of head or neck; Abnormality of the eye	head_neck; musculature; skeletal_system; growth; digestive_system; nervous_system; genitourinary_system; integument; metabolism_homeostasis; blood; endocrine; ear; prenatal_or_birth; eye; neoplasm; connective_tissue; immune_system; respiratory	syndromic disease	disorder of development or morphogenesis		hereditary disease; chromosomal disorder		
MONDO:0013404	hypermethioninemia with deficiency of S-adenosylhomocysteine hydrolase	Abnormality of limbs; Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the respiratory system; Abnormality of the musculoskeletal system; Neoplasm; Abnormality of prenatal development or birth; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the eye	nervous_system; blood; metabolism_homeostasis; head_neck; digestive_system; musculature; endocrine; skeletal_system; eye; growth; integument; neoplasm; respiratory; prenatal_or_birth		metabolic disease		hereditary disease		
MONDO:0013970	branched-chain keto acid dehydrogenase kinase deficiency	Abnormality of the nervous system; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Abnormality of metabolism/homeostasis; Abnormality of the ear; Abnormality of the genitourinary system; Abnormality of head or neck; Abnormality of the immune system; Abnormality of the eye	nervous_system; head_neck; metabolism_homeostasis; blood; musculature; skeletal_system; integument; digestive_system; growth; eye; genitourinary_system; immune_system; ear		metabolic disease		hereditary disease		
MONDO:0011829	coenzyme Q10 deficiency, primary, 1	Abnormality of the nervous system; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Abnormality of blood and blood-forming tissues; Abnormality of the endocrine system; Abnormality of metabolism/homeostasis; Abnormality of the genitourinary system; Abnormality of the ear; Constitutional symptom; Abnormality of the cardiovascular system; Abnormality of the eye	nervous_system; genitourinary_system; musculature; metabolism_homeostasis; head_neck; blood; eye; digestive_system; endocrine; immune_system; ear	nervous system disorder	metabolic disease; disorder of development or morphogenesis; mitochondrial disease		hereditary disease		
